id,name,code
medical_occupation_1,Personal Directivo de la Administración Pública,0012
medical_occupation_2,"Director, unidad administrativa especial",0012
medical_occupation_3,"Director ejecutivo, administración pública",0012
medical_occupation_4,"Gerente general, servicios gubernamentales",0012
medical_occupation_5,Contador general de la nación ,0012
medical_occupation_6,"Director general, servicios gubernamentales ",0012
medical_occupation_7,Superintendente nacional,0012
medical_occupation_8,"Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios",0013
medical_occupation_9,"Director ejecutivo - entidades financieras, de telecomunicaciones y otros servicios ",0013
medical_occupation_10,"Gerente general, empresa de telecomunicaciones",0013
medical_occupation_11,"Gerente general, empresa de teléfonos",0013
medical_occupation_12,"Gerente general - entidades financieras, de telecomunicaciones y otros servicios ",0013
medical_occupation_13,"Presidente, compañía de seguros",0013
medical_occupation_14,"Presidente, banco ",0013
medical_occupation_15,"Director general - entidades financieras, de telecomunicaciones y otros servicios ",0013
medical_occupation_16,"Gerente general, compañía fiduciaria",0013
medical_occupation_17,"Gerente general, compañía de servicios de informática",0213
medical_occupation_18,"Gerente general, compañía de seguros      ",0013
medical_occupation_19,"Presidente - entidades financieras, de telecomunicaciones y otros servicios ",0013
medical_occupation_20,"Vicepresidente de producción - entidades financieras, de telecomunicaciones y otros servicios ",0013
medical_occupation_21,"Vicepresidente de sistemas e informática, banca",0013
medical_occupation_22,"Vicepresidente - entidades financieras, de telecomunicaciones y otros servicios ",0013
medical_occupation_23,"Vicepresidente de recursos humanos  - entidades financieras, de telecomunicaciones y otros servicios ",0013
medical_occupation_24,"Vicepresidente de operaciones - entidades financieras, de telecomunicaciones y otros servicios ",0013
medical_occupation_25,"Vicepresidente  de recursos humanos, banca",0013
medical_occupation_26,"Subdirector ejecutivo, compañía de seguros ",0013
medical_occupation_27,"Vicepresidente financiero y administrativo - entidades financieras, de telecomunicaciones y otros servicios ",0013
medical_occupation_28,"Vicepresidente comercial, entidades financieras",0013
medical_occupation_29,"Vicepresidente jurídico, entidades financieras",0013
medical_occupation_30,"Vicepresidente, banca corporativa",0013
medical_occupation_31,"Vicepresidente administrativo, banca",0013
medical_occupation_32,"Vicepresidente de mercadeo - entidades financieras, de telecomunicaciones y otros servicios ",0013
medical_occupation_33,"Directores y Gerentes Generales de Salud, Educación, Servicios Social y Comunitario y Organizaciones",0014
medical_occupation_34,"Presidente, organización humanitaria",0014
medical_occupation_35,"Director ejecutivo - entidades de salud, educación, servicio social  y organizaciones de membresía",0014
medical_occupation_36,"Presidente, asociación deportiva",0015
medical_occupation_37,"Director general, clínica ",0014
