"id","country_id:id","name","code"
state_co_23,base.co,"CORDOBA","23"
state_co_05,base.co,"ANTIOQUIA","05"
state_co_13,base.co,"BOLIVAR","13"
state_co_15,base.co,"BOYACA","15"
state_co_17,base.co,"CALDAS","17"
state_co_18,base.co,"CAQUETA","18"
state_co_91,base.co,"AMAZONAS","91"
state_co_18,base.co,"CAQUETA","18"
state_co_81,base.co,"ARAUCA","81"
state_co_08,base.co,"ATLANTICO","08"
state_co_11,base.co,"BOGOTA D.C.","11"
state_co_85,base.co,"CASANARE","85"
state_co_19,base.co,"CAUCA","19"
state_co_20,base.co,"CESAR","20"
state_co_27,base.co,"CHOCO","27"
state_co_25,base.co,"CUNDINAMARCA","25"
state_co_94,base.co,"GUANIA","94"
state_co_95,base.co,"GUAVIARE","95"
state_co_41,base.co,"HUILA","41"
state_co_44,base.co,"LA GUAJIRA","44"
state_co_47,base.co,"MAGDALENA","47"
state_co_50,base.co,"META","50"
state_co_52,base.co,"NARIÑO","52"
state_co_54,base.co,"NORTE DE SANTANDER","54"
state_co_86,base.co,"PUTUMAYO","86"
state_co_63,base.co,"QUINDIO","63"
state_co_66,base.co,"RISARALDA","66"
state_co_88,base.co,"SAN ANDRES","88"
state_co_68,base.co,"SANTANDER","68"
state_co_70,base.co,"SUCRE","70"
state_co_73,base.co,"TOLIMA","73"
state_co_76,base.co,"VALLE DEL CAUCA","76"
state_co_97,base.co,"VAUPES","97"
state_co_99,base.co,"VICHADA","99"
