id,code,name
evaluation_type_890201,890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL
evaluation_type_890202,890202,CONSULTA DE PRIMERA VEZ POR MEDICINA ESPECIALIZADA
evaluation_type_890203,890203,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL
evaluation_type_890204,890204,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA ESPECIALIZADA
evaluation_type_890205,890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA
evaluation_type_890206,890206,CONSULTA DE PRIMERA VEZ POR NUTRICION Y DIETETICA
evaluation_type_890207,890207,CONSULTA DE PRIMERA VEZ POR OPTOMETRIA
evaluation_type_890208,890208,CONSULTA DE PRIMERA VEZ POR PSICOLOGIA
evaluation_type_890209,890209,CONSULTA DE PRIMERA VEZ POR TRABAJO SOCIAL
evaluation_type_890210,890210,CONSULTA DE PRIMERA VEZ POR FONIATRIA Y FONOAUDIOLOGIA +
evaluation_type_890211,890211,CONSULTA DE PRIMERA VEZ POR FISIOTERAPIA
evaluation_type_890212,890212,CONSULTA DE PRIMERA VEZ POR TERAPIA RESPIRATORIA
evaluation_type_890213,890213,CONSULTA DE PRIMERA VEZ POR TERAPIA OCUPACIONAL
evaluation_type_890214,890214,CONSULTA DE PRIMERA VEZ POR TERAPIAS ALTERNATIVAS
evaluation_type_890215,890215,CONSULTA DE PRIMERA VEZ POR EQUIPO INTERDISCIPLINARIO
evaluation_type_890301,890301,CONSULTA DE CONTROL O DE SEGUIMIENTO POR MEDICINA GE-NERAL +
evaluation_type_890302,890302,CONSULTA DE CONTROL O DE SEGUIMIENTO POR MEDICINA ESPECIALIZADA
evaluation_type_890303,890303,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ODONTOLOGIA GENERAL +
evaluation_type_890304,890304,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ODONTOLOGIA ESPECIALIZA
evaluation_type_890305,890305,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ENFERMERIA +
evaluation_type_890306,890306,CONSULTA DE CONTROL O DE SEGUIMIENTO POR NUTRICION Y DIETETICA +
evaluation_type_890307,890307,CONSULTA DE CONTROL O DE SEGUIMIENTO POR OPTOMETRIA +
evaluation_type_890308,890308,CONSULTA DE CONTROL O DE SEGUIMIENTO POR PSICOLOGIA +
evaluation_type_890309,890309,CONSULTA DE CONTROL O DE SEGUIMIENTO POR TRABAJO SOCIAL
evaluation_type_890310,890310,CONSULTA DE CONTROL O DE SEGUIMIENTO POR FONIATRIA Y FONOAUDIOLO
evaluation_type_890311,890311,CONSULTA DE CONTROL O DE SEGUIMIENTO POR FISIOTERAPIA +
evaluation_type_890312,890312,CONSULTA DE CONTROL O DE SEGUIMIENTO POR TERAPIA RESPIRATORIA +
evaluation_type_890313,890313,CONSULTA DE CONTROL O DE SEGUIMIENTO POR TERAPIA OCUPACIONAL +
evaluation_type_890314,890314,CONSULTA DE CONTROL O DE SEGUIMIENTO POR TERAPIAS ALTERNATIVAS +
evaluation_type_890315,890315,CONSULTA INTEGRAL DE CONTROL O DE SEGUIMIENTO POR EQUIPO INTERDI
evaluation_type_890701,890701,"CONSULTA DE URGENCIAS, POR MEDICINA GENERAL"
evaluation_type_890702,890702,"CONSULTA DE URGENCIAS, POR MEDICINA ESPECIALIZADA"
evaluation_type_890703,890703,"CONSULTA DE URGENCIAS, POR ODONTOLOGIA GENERAL"
evaluation_type_890704,890704,"CONSULTA DE URGENCIAS, POR ODONTOLOGIA ESPECIALIZADA"
